Version Number,1,,,,,,,,,,,,,,,,,
5991,Midknight Minions Too,West Windsor,"New Jersey, USA",,,,,,,,,,,,,,,
23550,ROBOT MASTERS,THESSALONIKI,Greece,,,,,,,,,,,,,,,
6610,Roboscholars,State College,"Pennsylvania, USA",,,,,,,,,,,,,,,
23900,cassapeia,wiesloch,Germany,,,,,,,,,,,,,,,
309,RECHARGED,Pearl,"Mississippi, USA",,,,,,,,,,,,,,,
9064,BrickSmart,The Woodlands,"Texas, USA",,,,,,,,,,,,,,,
22750,TPOMPSPC,Hong Kong,China,,,,,,,,,,,,,,,
14768,Borinquen Master Builders,Aguadilla,Puerto Rico,,,,,,,,,,,,,,,
3478,Dream Team,Simpsonville,"South Carolina, USA",,,,,,,,,,,,,,,
14382,FIRE NSBE Jr. ,Glenn Dale,"Maryland, USA",,,,,,,,,,,,,,,
Block Format,2,,,,,,,,,,,,,,,,,
Number of Ranking Matches,48,,,,,,,,,,,,,,,,,
Number of Tables,8,,,,,,,,,,,,,,,,,
Number of Teams Per Table,2,,,,,,,,,,,,,,,,,
Number of Simultaneous Tables,4,,,,,,,,,,,,,,,,,
Table Names,Table 1,Table 2,Table 3,Table 4,Table 5,Table 6,Table 7,Table 8,Table 9,Table 10,Table 11,Table 12,Table 13,Table 14,Table 15,Table 16,,
1,8:30 AM,8:35 AM,22600,854,24300,24200,3566,7257,23200,3368,,,,,,,,
2,8:35 AM,8:40 AM,,,,,,,,,22500,2936,23000,22250,334,3214,24600,23150
3,8:40 AM,8:45 AM,2096,23850,23500,22400,24050,190,1852,6361,,,,,,,,
4,8:45 AM,8:50 AM,,,,,,,,,5875,23650,23800,5709,24450,4145,1758,4570
5,8:55 AM,9:00 AM,23950,2211,22100,4048,24100,5507,24000,168,,,,,,,,
6,9:00 AM,9:05 AM,,,,,,,,,6610,23900,5991,23550,23750,23350,0,0
7,9:05 AM,9:10 AM,3478,14382,22750,14768,309,9064,0,0,,,,,,,,
8,9:10 AM,9:15 AM,,,,,,,,,0,0,0,0,0,0,0,0
9,9:40 AM,9:45 AM,24300,3566,854,3368,23200,24200,22600,7257,,,,,,,,
10,9:45 AM,9:50 AM,,,,,,,,,23000,334,2936,23150,24600,22250,22500,3214
11,9:50 AM,9:55 AM,23500,24050,23850,6361,1852,22400,2096,190,,,,,,,,
12,9:55 AM,10:00 AM,,,,,,,,,23800,24450,23650,4570,1758,5709,5875,4145
13,10:05 AM,10:10 AM,22100,24100,2211,168,24000,4048,23950,5507,,,,,,,,
14,10:10 AM,10:15 AM,,,,,,,,,5991,23350,6610,23750,23900,23550,0,0
15,10:15 AM,10:20 AM,22750,9064,3478,309,14382,14768,0,0,,,,,,,,
16,10:20 AM,10:25 AM,,,,,,,,,0,0,0,0,0,0,0,0
17,10:50 AM,10:55 AM,24200,3368,7257,23200,24300,22600,854,3566,,,,,,,,
18,10:55 AM,11:00 AM,,,,,,,,,22250,23150,3214,24600,23000,22500,2936,334
19,11:00 AM,11:05 AM,22400,6361,190,1852,23500,2096,23850,24050,,,,,,,,
20,11:05 AM,11:10 AM,,,,,,,,,5709,4570,4145,1758,23800,5875,23650,24450
21,11:15 AM,11:20 AM,4048,168,5507,24000,22100,23950,2211,24100,,,,,,,,
22,11:20 AM,11:25 AM,,,,,,,,,23750,23550,23900,23350,5991,6610,0,0
23,11:25 AM,11:30 AM,309,14768,14382,9064,22750,3478,0,0,,,,,,,,
24,11:30 AM,11:35 AM,,,,,,,,,0,0,0,0,0,0,0,0
25,12:30 PM,12:35 PM,0,0,0,0,0,0,0,0,,,,,,,,
26,12:35 PM,12:40 PM,,,,,,,,,22200,404,5591,22700,24550,207,22950,1380
27,12:40 PM,12:45 PM,22800,12758,1971,11892,23300,2815,23050,2071,,,,,,,,
28,12:45 PM,12:50 PM,,,,,,,,,24400,5156,22150,7922,23250,9764,23400,2430
29,12:50 PM,12:55 PM,24150,22050,3140,29,7135,24650,818,22550,,,,,,,,
30,1:00 PM,1:05 PM,,,,,,,,,22350,3142,9,23100,2033,22650,24500,22300
31,1:05 PM,1:10 PM,3420,4865,7767,50,2006,22450,23600,23450,,,,,,,,
32,1:10 PM,1:15 PM,,,,,,,,,1325,24250,22900,5027,5831,22850,0,0
33,1:40 PM,1:45 PM,0,0,0,0,0,0,0,0,,,,,,,,
34,1:45 PM,1:50 PM,,,,,,,,,5591,24550,404,1380,22950,22700,22200,207
35,1:50 PM,1:55 PM,1971,23300,12758,2071,23050,11892,22800,2815,,,,,,,,
36,1:55 PM,2:00 PM,,,,,,,,,22150,23250,5156,2430,23400,7922,24400,9764
37,2:00 PM,2:05 PM,3140,7135,22050,22550,818,29,24150,24650,,,,,,,,
38,2:10 PM,2:15 PM,,,,,,,,,9,2033,3142,22300,24500,23100,22350,22650
39,2:15 PM,2:20 PM,7767,2006,4865,23450,23600,50,3420,22450,,,,,,,,
40,2:20 PM,2:25 PM,,,,,,,,,22900,22850,1325,5831,24250,5027,0,0
41,2:50 PM,2:55 PM,0,0,0,0,0,0,0,0,,,,,,,,
42,2:55 PM,3:00 PM,,,,,,,,,22700,1380,207,22950,5591,22200,404,24550
43,3:00 PM,3:05 PM,11892,2071,2815,23050,1971,22800,12758,23300,,,,,,,,
44,3:05 PM,3:10 PM,,,,,,,,,7922,2430,9764,23400,22150,24400,5156,23250
45,3:10 PM,3:15 PM,29,22550,24650,818,3140,24150,22050,7135,,,,,,,,
46,3:20 PM,3:25 PM,,,,,,,,,23100,22300,22650,24500,9,22350,3142,2033
47,3:25 PM,3:30 PM,50,23450,22450,23600,7767,3420,4865,2006,,,,,,,,
48,3:30 PM,3:35 PM,,,,,,,,,5831,5027,24250,22850,22900,1325,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
